Soil Moisture,Temperature, Soil Humidity,N,P,K,Status,Fertilizer,Pest
12,0,63,68,41,16,OFF,17-17-17,Spodoptera
67,3,44,93,41,17,OFF,Urea,Spodoptera
54,31,49,89,60,19,ON,10-26-26,Spodoptera
49,33,31,76,44,17,ON,14-35-14,AmericanBollworm-Larva
24,29,34,67,60,25,ON,10-26-26,Spodoptera
27,18,38,70,44,19,ON,DAP,Spodoptera
50,35,20,90,49,21,ON,20-20,Spodoptera
51,26,32,62,52,16,ON,20-20,Mealybug
38,26,34,92,44,16,ON,28-28,Jassid
23,45,50,66,54,21,OFF,28-28,AmericanBollworm-Larva
27,29,60,63,58,22,ON,20-20,AmericanBollworm-Larva
72,39,21,70,47,17,ON,10-26-26,Jassid
89,19,38,61,41,17,OFF,DAP,Jassid
36,28,55,66,53,19,ON,Urea,Aphid
4,5,45,74,55,19,ON,Urea,Aphid
21,37,48,77,57,21,ON,17-17-17,Aphid
8,37,58,99,50,15,OFF,10-26-26,Aphid
5,27,28,74,56,22,ON,17-17-17,Mealybug
1,10,56,83,45,21,ON,28-28,AmericanBollworm-Egg
2,40,43,100,48,16,ON,Urea,AmericanBollworm-Egg
63,35,30,79,51,16,OFF,28-28,Spodoptera
17,39,38,94,39,18,ON,17-17-17,AmericanBollworm-Egg
33,19,26,75,49,15,OFF,10-26-26,PinkBollworm-Larva
21,6,67,78,48,22,ON,20-20,Spodoptera
84,29,36,87,54,20,ON,DAP,AmericanBollworm-Egg
35,28,23,87,35,25,ON,Urea,Jassid
81,4,35,63,43,19,OFF,17-17-17,PinkBollworm-Larva
44,41,22,84,57,25,ON,20-20,AmericanBollworm-Egg
53,6,68,64,35,23,ON,DAP,Aphid
25,18,66,60,46,22,ON,10-26-26,AmericanBollworm-Larva
22,28,38,98,44,21,ON,17-17-17,Mealybug
57,44,44,75,56,18,ON,28-28,Jassid
15,25,67,86,55,21,ON,DAP,Mealybug
33,23,25,98,35,18,OFF,14-35-14,AmericanBollworm-Larva
20,25,54,76,57,18,OFF,28-28,Mealybug
52,13,62,99,56,17,OFF,10-26-26,Mealybug
47,2,56,60,44,23,OFF,14-35-14,Aphid
63,40,63,74,48,17,OFF,DAP,Jassid
48,11,21,89,60,17,OFF,DAP,AmericanBollworm-Larva
15,34,31,69,51,23,ON,20-20,AmericanBollworm-Egg
87,37,37,96,46,22,ON,28-28,Mealybug
30,27,70,61,60,15,ON,28-28,Jassid
89,31,69,74,58,18,OFF,14-35-14,Jassid
28,1,42,74,43,23,OFF,DAP,Aphid
87,1,52,63,43,17,OFF,DAP,PinkBollworm-Larva
41,23,67,99,36,20,ON,DAP,AmericanBollworm-Larva
58,42,68,77,36,23,ON,17-17-17,Mealybug
73,10,23,87,60,23,OFF,Urea,Mealybug
84,2,57,60,38,17,OFF,17-17-17,AmericanBollworm-Larva
90,19,64,94,54,17,ON,20-20,AmericanBollworm-Larva
90,44,44,95,38,22,OFF,Urea,AmericanBollworm-Larva
29,35,34,84,44,21,ON,DAP,Jassid
65,5,35,77,58,19,OFF,10-26-26,Jassid
70,0,37,66,44,20,OFF,28-28,Spodoptera
70,32,51,63,35,16,ON,Urea,Jassid
6,8,59,79,45,20,OFF,17-17-17,Mealybug
86,1,50,72,60,25,OFF,20-20,AmericanBollworm-Egg
90,17,22,67,51,24,OFF,Urea,PinkBollworm-Larva
22,32,67,86,36,24,ON,14-35-14,Jassid
7,24,35,76,48,18,ON,10-26-26,AmericanBollworm-Larva
73,32,48,75,53,18,OFF,28-28,Mealybug
78,23,29,81,45,23,OFF,Urea,AmericanBollworm-Larva
26,26,22,73,45,21,ON,10-26-26,Aphid
2,28,70,71,35,24,OFF,17-17-17,PinkBollworm-Larva
48,5,34,96,54,22,ON,28-28,Spodoptera
31,45,67,99,39,18,ON,Urea,Mealybug
4,7,56,62,48,20,ON,20-20,Spodoptera
71,22,64,86,37,16,OFF,17-17-17,Mealybug
74,6,47,94,50,19,OFF,20-20,Jassid
58,20,31,76,39,24,OFF,20-20,Aphid
76,3,70,77,52,17,OFF,20-20,Mealybug
78,36,44,74,39,23,OFF,DAP,AmericanBollworm-Egg
5,14,41,81,49,20,ON,Urea,Mealybug
8,32,38,63,42,21,OFF,17-17-17,PinkBollworm-Larva
31,6,40,99,38,21,OFF,10-26-26,Aphid
30,34,53,90,52,25,ON,Urea,AmericanBollworm-Larva
58,25,37,68,40,19,ON,14-35-14,PinkBollworm-Larva
28,9,66,60,57,24,ON,Urea,PinkBollworm-Larva
19,16,32,71,52,18,OFF,17-17-17,Jassid
26,15,45,61,59,17,ON,28-28,Aphid
51,37,65,88,38,15,ON,28-28,Mealybug
4,45,67,65,60,22,OFF,17-17-17,Spodoptera
80,25,63,78,37,22,OFF,Urea,AmericanBollworm-Larva
68,24,45,78,58,15,OFF,28-28,Aphid
8,9,41,92,60,23,OFF,DAP,Aphid
53,35,21,79,59,17,ON,17-17-17,Aphid
79,32,66,91,55,15,OFF,DAP,AmericanBollworm-Larva
68,5,63,76,51,18,OFF,DAP,Jassid
76,37,59,87,48,25,OFF,14-35-14,PinkBollworm-Larva
34,18,38,71,60,22,ON,20-20,AmericanBollworm-Larva
28,0,66,90,57,24,OFF,14-35-14,Mealybug
62,36,25,67,35,22,ON,10-26-26,Mealybug
88,27,54,60,54,19,ON,20-20,AmericanBollworm-Larva
1,23,39,83,58,23,ON,DAP,Spodoptera
25,0,48,83,57,19,OFF,10-26-26,Spodoptera
40,2,46,40,72,77,ON,10-26-26,Spodoptera
77,22,58,23,72,84,OFF,28-28,Spodoptera
66,22,48,39,58,85,ON,17-17-17,Mealybug
52,21,36,22,72,85,ON,28-28,AmericanBollworm-Larva
84,34,37,36,67,77,OFF,DAP,PinkBollworm-Larva
26,7,39,32,73,81,ON,10-26-26,Jassid
38,34,40,58,70,84,ON,DAP,Spodoptera
48,24,68,59,70,84,ON,14-35-14,PinkBollworm-Larva
12,20,43,42,62,75,OFF,20-20,AmericanBollworm-Egg
51,0,46,28,74,81,OFF,17-17-17,PinkBollworm-Larva
83,26,36,58,66,79,ON,17-17-17,AmericanBollworm-Egg
64,3,57,43,66,79,OFF,17-17-17,Spodoptera
35,10,69,58,63,81,ON,10-26-26,AmericanBollworm-Egg
81,17,53,23,62,85,OFF,14-35-14,AmericanBollworm-Egg
47,15,28,27,62,77,OFF,20-20,Spodoptera
18,40,38,28,72,84,ON,DAP,PinkBollworm-Larva
54,40,39,50,56,76,ON,14-35-14,PinkBollworm-Larva
60,18,43,39,71,84,ON,20-20,Jassid
20,38,63,25,78,76,ON,10-26-26,Spodoptera
39,16,20,31,70,77,OFF,10-26-26,AmericanBollworm-Larva
19,17,51,26,80,83,ON,17-17-17,AmericanBollworm-Egg
61,16,50,25,68,77,OFF,28-28,AmericanBollworm-Egg
40,28,52,31,78,76,ON,10-26-26,Jassid
37,4,30,60,68,83,OFF,20-20,Aphid
61,14,61,59,62,83,OFF,17-17-17,PinkBollworm-Larva
70,8,43,22,67,78,OFF,Urea,Jassid
40,43,68,36,65,80,ON,20-20,AmericanBollworm-Larva
84,6,33,59,60,84,ON,14-35-14,Spodoptera
60,30,58,54,77,85,ON,20-20,Aphid
5,29,37,43,68,81,OFF,14-35-14,Mealybug
8,25,66,28,76,82,ON,10-26-26,Jassid
58,44,52,42,79,85,ON,20-20,AmericanBollworm-Larva
1,27,69,32,60,83,ON,DAP,AmericanBollworm-Egg
65,7,35,22,78,76,OFF,14-35-14,AmericanBollworm-Egg
50,35,65,31,79,75,OFF,Urea,Mealybug
2,15,65,28,58,81,OFF,10-26-26,AmericanBollworm-Larva
28,17,57,57,58,77,OFF,28-28,Spodoptera
56,13,43,49,55,78,ON,10-26-26,PinkBollworm-Larva
35,29,55,46,76,77,OFF,Urea,Jassid
16,8,57,54,61,77,ON,17-17-17,Spodoptera
90,7,62,38,60,76,OFF,14-35-14,Mealybug
33,44,29,59,55,79,ON,17-17-17,AmericanBollworm-Larva
40,38,58,36,76,75,ON,DAP,AmericanBollworm-Larva
75,15,56,57,68,81,OFF,17-17-17,Aphid
43,41,51,35,66,81,ON,17-17-17,Jassid
87,15,54,35,64,78,OFF,14-35-14,Mealybug
90,44,29,52,60,79,OFF,DAP,Spodoptera
67,27,30,27,76,83,ON,Urea,AmericanBollworm-Egg
83,24,46,57,60,84,ON,Urea,Spodoptera
85,12,41,52,68,78,ON,17-17-17,Jassid
62,23,47,43,79,79,OFF,Urea,Aphid
88,38,46,44,74,85,OFF,14-35-14,PinkBollworm-Larva
10,30,70,24,55,78,ON,17-17-17,PinkBollworm-Larva
20,39,50,29,77,75,OFF,28-28,PinkBollworm-Larva
62,12,51,20,60,78,OFF,10-26-26,Spodoptera
50,26,28,56,67,78,OFF,17-17-17,Mealybug
35,45,64,37,66,85,ON,20-20,AmericanBollworm-Larva
83,20,53,49,71,76,OFF,28-28,Jassid
5,0,61,59,69,80,OFF,Urea,AmericanBollworm-Larva
27,12,57,20,79,77,OFF,17-17-17,Mealybug
34,21,37,24,56,85,ON,28-28,AmericanBollworm-Egg
32,3,58,51,72,75,OFF,DAP,Mealybug
30,28,31,57,73,85,OFF,DAP,Mealybug
63,8,20,22,64,82,OFF,10-26-26,PinkBollworm-Larva
61,20,54,52,73,79,OFF,10-26-26,Jassid
60,36,22,29,75,75,ON,28-28,Aphid
54,24,41,44,59,78,ON,28-28,Aphid
71,26,24,41,69,82,OFF,20-20,Jassid
14,45,54,52,56,85,ON,28-28,Spodoptera
39,15,21,34,76,80,ON,20-20,PinkBollworm-Larva
40,37,62,42,74,83,ON,20-20,Jassid
50,1,41,34,71,79,OFF,17-17-17,Jassid
73,9,34,27,73,79,OFF,DAP,PinkBollworm-Larva
37,41,34,30,70,79,ON,28-28,Spodoptera
43,0,66,57,57,75,OFF,DAP,PinkBollworm-Larva
76,29,44,27,79,82,OFF,20-20,PinkBollworm-Larva
53,36,42,32,71,85,OFF,DAP,Jassid
71,9,55,31,76,82,OFF,Urea,Mealybug
26,9,65,33,75,84,ON,20-20,AmericanBollworm-Egg
12,41,36,47,80,77,ON,14-35-14,Jassid
67,13,35,54,62,80,OFF,10-26-26,PinkBollworm-Larva
17,45,53,47,79,78,ON,14-35-14,Aphid
26,38,70,35,57,83,ON,10-26-26,AmericanBollworm-Larva
78,39,34,53,73,77,ON,10-26-26,AmericanBollworm-Egg
30,27,57,45,61,78,OFF,20-20,AmericanBollworm-Egg
20,5,38,37,78,79,ON,Urea,Spodoptera
79,28,61,30,75,81,OFF,10-26-26,PinkBollworm-Larva
40,17,42,37,55,82,ON,28-28,Jassid
10,11,53,53,65,76,ON,20-20,PinkBollworm-Larva
84,8,55,22,60,85,OFF,Urea,PinkBollworm-Larva
11,8,32,60,61,78,OFF,DAP,PinkBollworm-Larva
63,28,38,42,67,77,OFF,Urea,PinkBollworm-Larva
40,2,40,39,76,76,OFF,17-17-17,Spodoptera
33,37,34,35,63,76,ON,10-26-26,Jassid
75,11,64,30,65,82,OFF,Urea,Spodoptera
24,30,57,57,56,78,ON,20-20,AmericanBollworm-Larva
65,15,53,48,65,78,OFF,DAP,Mealybug
35,25,46,36,56,83,OFF,Urea,PinkBollworm-Larva
44,15,33,40,58,75,ON,20-20,Spodoptera
39,1,45,49,69,82,OFF,28-28,Aphid
13,35,24,13,60,25,ON,28-28,Spodoptera
20,45,59,25,70,16,OFF,20-20,Mealybug
82,0,65,31,55,22,OFF,10-26-26,Spodoptera
72,5,53,40,64,16,OFF,28-28,AmericanBollworm-Larva
56,30,36,2,61,20,ON,20-20,Jassid
14,44,26,26,65,22,OFF,17-17-17,PinkBollworm-Larva
25,10,57,17,57,21,ON,DAP,AmericanBollworm-Larva
13,6,52,26,80,18,ON,Urea,AmericanBollworm-Egg
43,43,37,17,59,17,OFF,17-17-17,Jassid
62,1,66,27,59,22,OFF,17-17-17,AmericanBollworm-Egg
56,36,47,28,58,24,ON,28-28,Spodoptera
60,10,25,25,57,19,OFF,Urea,Jassid
89,7,56,28,80,17,OFF,14-35-14,Jassid
46,23,23,25,60,22,ON,Urea,PinkBollworm-Larva
8,29,32,12,78,23,ON,28-28,AmericanBollworm-Egg
13,10,41,6,77,25,ON,DAP,PinkBollworm-Larva
55,35,35,22,79,17,ON,DAP,Spodoptera
65,27,44,27,80,15,ON,Urea,Spodoptera
34,33,66,10,55,23,ON,10-26-26,AmericanBollworm-Egg
55,17,35,23,65,20,ON,28-28,Mealybug
32,10,40,19,78,16,ON,14-35-14,Mealybug
60,38,47,19,65,25,ON,20-20,PinkBollworm-Larva
80,21,48,22,70,19,OFF,10-26-26,AmericanBollworm-Larva
22,16,39,37,64,22,OFF,20-20,AmericanBollworm-Larva
2,21,51,11,71,17,ON,DAP,AmericanBollworm-Larva
31,8,26,18,79,20,OFF,DAP,Jassid
59,11,50,21,63,17,OFF,DAP,Jassid
27,6,53,24,80,22,OFF,DAP,Jassid
42,40,54,34,60,22,OFF,20-20,Spodoptera
19,31,68,16,75,21,ON,14-35-14,PinkBollworm-Larva
37,43,41,17,77,23,ON,DAP,PinkBollworm-Larva
17,16,47,37,72,18,ON,28-28,Aphid
42,22,62,40,73,20,ON,10-26-26,AmericanBollworm-Egg
90,39,46,9,77,17,ON,10-26-26,Jassid
27,9,35,1,62,23,OFF,28-28,AmericanBollworm-Larva
12,1,40,33,59,22,OFF,20-20,Spodoptera
26,13,43,23,59,19,ON,28-28,AmericanBollworm-Larva
35,19,52,6,62,22,OFF,10-26-26,Aphid
84,45,36,25,63,20,ON,DAP,PinkBollworm-Larva
44,43,66,7,79,23,OFF,14-35-14,Aphid
90,28,63,8,72,17,OFF,28-28,Aphid
6,15,40,27,64,15,ON,DAP,AmericanBollworm-Egg
70,23,53,28,66,23,OFF,14-35-14,Aphid
76,18,26,32,57,18,OFF,DAP,PinkBollworm-Larva
7,3,61,27,56,22,ON,10-26-26,Spodoptera
87,12,58,17,77,24,OFF,14-35-14,Aphid
86,33,61,0,65,15,ON,10-26-26,Spodoptera
64,28,46,13,72,21,ON,20-20,AmericanBollworm-Larva
15,38,53,34,60,23,ON,Urea,PinkBollworm-Larva
18,44,32,9,80,19,ON,17-17-17,AmericanBollworm-Larva
50,24,29,11,72,20,OFF,28-28,Spodoptera
36,11,50,3,67,24,OFF,28-28,PinkBollworm-Larva
81,32,46,35,69,23,ON,28-28,Spodoptera
66,38,22,3,77,25,OFF,Urea,Spodoptera
86,4,66,23,62,19,OFF,DAP,AmericanBollworm-Larva
5,0,69,22,71,17,OFF,Urea,AmericanBollworm-Larva
85,28,61,31,79,25,OFF,17-17-17,Jassid
14,12,41,34,59,18,ON,28-28,AmericanBollworm-Egg
32,34,45,12,63,17,ON,DAP,AmericanBollworm-Larva
3,42,23,27,56,20,ON,28-28,Aphid
20,19,46,7,63,24,ON,14-35-14,PinkBollworm-Larva
53,12,68,24,67,22,ON,17-17-17,AmericanBollworm-Egg
9,34,47,11,71,24,ON,10-26-26,Aphid
6,32,26,37,74,15,ON,14-35-14,AmericanBollworm-Larva
79,8,47,25,76,24,OFF,17-17-17,Spodoptera
76,39,27,34,66,17,ON,20-20,Mealybug
77,23,27,20,69,15,OFF,Urea,Aphid
63,45,37,37,65,16,OFF,20-20,Spodoptera
3,5,42,18,74,15,OFF,DAP,AmericanBollworm-Egg
40,3,20,4,67,25,OFF,14-35-14,Spodoptera
31,20,34,37,56,25,OFF,10-26-26,Jassid
90,5,49,5,59,15,OFF,DAP,Aphid
8,27,37,11,61,21,ON,28-28,Mealybug
37,1,22,22,80,20,OFF,20-20,Jassid
22,4,65,12,61,19,ON,20-20,Jassid
70,30,60,5,74,21,OFF,17-17-17,PinkBollworm-Larva
84,32,29,27,69,22,OFF,10-26-26,Aphid
29,39,53,31,75,18,OFF,10-26-26,Mealybug
18,15,33,36,68,20,OFF,17-17-17,Jassid
82,11,25,5,65,16,OFF,17-17-17,Aphid
86,29,48,32,79,15,ON,17-17-17,AmericanBollworm-Larva
12,21,32,11,78,22,OFF,28-28,PinkBollworm-Larva
64,11,32,0,55,22,ON,14-35-14,AmericanBollworm-Larva
16,20,32,14,59,15,ON,28-28,Mealybug
47,9,31,29,68,23,OFF,10-26-26,Mealybug
51,16,70,32,68,19,ON,20-20,Jassid
5,5,23,17,64,17,ON,Urea,Spodoptera
90,19,56,13,69,19,OFF,Urea,Aphid
32,0,25,14,67,22,OFF,14-35-14,Aphid
16,22,70,9,69,20,ON,10-26-26,AmericanBollworm-Larva
42,30,52,20,73,22,OFF,17-17-17,Mealybug
86,32,50,40,78,20,OFF,17-17-17,Aphid
86,9,69,27,72,23,OFF,10-26-26,Aphid
80,3,34,14,67,15,OFF,10-26-26,PinkBollworm-Larva
58,43,58,7,56,18,ON,28-28,Aphid
90,37,40,27,65,18,ON,14-35-14,AmericanBollworm-Larva
78,44,70,30,63,16,ON,17-17-17,AmericanBollworm-Larva
38,26,24,37,70,25,ON,Urea,PinkBollworm-Larva
39,23,45,27,63,19,ON,17-17-17,AmericanBollworm-Egg
9,8,31,22,60,24,OFF,10-26-26,Mealybug
73,37,22,3,72,24,OFF,20-20,Mealybug
77,0,50,40,59,23,OFF,14-35-14,AmericanBollworm-Egg
16,17,61,33,73,23,OFF,10-26-26,Aphid
56,37,55,27,57,24,ON,14-35-14,AmericanBollworm-Egg
8,4,37,10,79,18,ON,14-35-14,Mealybug
27,45,20,30,75,25,OFF,DAP,AmericanBollworm-Larva
29,8,68,40,70,20,ON,Urea,Jassid
17,10,64,38,55,19,ON,10-26-26,AmericanBollworm-Egg
60,43,48,35,58,20,ON,DAP,PinkBollworm-Larva
20,15,40,38,61,21,ON,14-35-14,Aphid
82,43,39,33,58,24,OFF,28-28,Jassid
59,25,61,16,56,17,OFF,20-20,Spodoptera
46,13,56,31,72,17,OFF,DAP,Spodoptera
35,37,30,16,80,20,ON,10-26-26,Aphid
67,39,60,27,72,17,ON,20-20,AmericanBollworm-Larva
76,37,46,40,62,19,ON,20-20,Spodoptera
2,45,59,18,58,16,ON,10-26-26,PinkBollworm-Larva
20,30,21,3,68,16,OFF,Urea,PinkBollworm-Larva
36,29,39,26,67,24,ON,28-28,Jassid
86,24,42,16,70,20,OFF,20-20,Jassid
7,5,44,24,63,19,OFF,14-35-14,Mealybug
82,34,64,9,76,25,OFF,20-20,Jassid
20,27,27,16,55,19,ON,Urea,Spodoptera
65,27,34,28,75,21,OFF,Urea,Mealybug
32,11,53,16,71,24,OFF,10-26-26,AmericanBollworm-Egg
72,7,32,24,70,21,ON,Urea,AmericanBollworm-Larva
73,44,39,38,72,21,ON,10-26-26,Jassid
8,32,48,9,66,21,ON,10-26-26,Aphid
7,31,39,34,56,17,ON,10-26-26,Spodoptera
58,17,60,1,76,19,OFF,14-35-14,Jassid
68,12,25,6,69,19,OFF,20-20,AmericanBollworm-Egg
65,37,58,26,73,21,OFF,20-20,PinkBollworm-Larva
31,37,29,27,61,18,ON,10-26-26,Spodoptera
54,42,44,27,71,23,ON,28-28,Jassid
12,32,56,36,61,21,OFF,20-20,Spodoptera
78,37,54,17,73,18,ON,14-35-14,AmericanBollworm-Egg
72,16,30,26,72,22,OFF,10-26-26,Jassid
17,33,69,17,64,16,ON,17-17-17,Aphid
11,41,23,14,74,19,OFF,28-28,AmericanBollworm-Egg
64,9,26,39,60,15,OFF,14-35-14,Mealybug
72,44,24,6,66,15,OFF,20-20,Aphid
22,18,57,8,59,18,OFF,17-17-17,AmericanBollworm-Larva
36,38,31,2,67,18,ON,17-17-17,Jassid
18,17,40,1,76,17,OFF,Urea,AmericanBollworm-Larva
84,42,67,16,73,19,ON,17-17-17,Aphid
21,45,55,23,75,25,ON,20-20,Mealybug
56,20,33,32,70,20,ON,DAP,Jassid
73,4,67,28,59,22,ON,28-28,Mealybug
79,21,63,5,62,23,OFF,28-28,PinkBollworm-Larva
56,27,25,36,67,25,ON,17-17-17,Mealybug
82,43,59,1,66,23,ON,Urea,PinkBollworm-Larva
77,42,42,24,73,20,OFF,14-35-14,PinkBollworm-Larva
79,16,58,17,67,18,OFF,DAP,Jassid
10,44,38,5,55,18,ON,10-26-26,Mealybug
57,6,28,5,56,24,OFF,Urea,AmericanBollworm-Larva
68,17,62,37,77,17,OFF,14-35-14,Mealybug
46,1,58,13,73,20,OFF,Urea,AmericanBollworm-Egg
83,16,31,6,63,23,OFF,28-28,Mealybug
26,23,60,16,77,22,OFF,Urea,Aphid
78,24,45,25,64,20,ON,10-26-26,AmericanBollworm-Egg
7,29,48,34,75,24,ON,14-35-14,Spodoptera
48,2,52,20,77,23,OFF,10-26-26,AmericanBollworm-Larva
34,0,33,35,80,25,OFF,17-17-17,AmericanBollworm-Egg
48,3,36,14,75,24,OFF,14-35-14,Mealybug
5,27,29,36,80,21,ON,20-20,Spodoptera
15,36,37,7,77,18,ON,10-26-26,AmericanBollworm-Larva
48,2,59,29,78,25,OFF,DAP,Jassid
48,41,21,30,60,21,ON,Urea,PinkBollworm-Larva
74,24,25,20,74,16,OFF,17-17-17,AmericanBollworm-Egg
10,42,35,19,57,23,OFF,20-20,AmericanBollworm-Egg
23,0,58,3,60,19,OFF,20-20,Jassid
35,3,53,5,77,19,OFF,DAP,Jassid
74,3,42,5,68,20,OFF,14-35-14,Jassid
17,16,57,37,73,21,OFF,20-20,Jassid
37,4,31,9,59,24,OFF,Urea,AmericanBollworm-Larva
77,6,59,20,72,15,OFF,10-26-26,Mealybug
44,2,53,31,56,23,OFF,Urea,Jassid
62,8,55,0,70,21,OFF,10-26-26,Aphid
70,24,41,21,74,15,OFF,10-26-26,Aphid
